site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_B_STUDIO,WARMUP,2025-08-14T03:04:43.173304,b0db99f3-dc13-4603-afd0-e15090ecdb90,T270,base,warmup,First photo - preset output,,,,,,,,,,,,1755140682832,1755140683172,1755140683173
SCENE_B_STUDIO,WARMUP,2025-08-14T03:04:55.221716,c02f5e63-37d9-43f8-a4f7-d44c82336082,T270,base,warmup,First photo - preset output,,,,,,,,,,,,1755140694974,1755140695219,1755140695221
SCENE_B_STUDIO,WARMUP,2025-08-14T03:05:19.719178,78a7f46e-97d5-42ec-b0b9-fe6fbae8ed4e,T270,base,warmup,First photo - preset output,,,,,,,,,,,,1755140719460,1755140719718,1755140719719
SCENE_B_STUDIO,WARMUP,2025-08-14T03:48:15.086881,944e3d9b-689d-4013-a67f-a105b6cb00b9,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755143294801,1755143295085,1755143295086
SCENE_B_STUDIO,WARMUP,2025-08-14T03:52:11.643826,fcf89653-10af-4c22-a4d4-b27bb4edad3e,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755143531382,1755143531643,1755143531643
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755143531639,2025-08-14T03:52:34.271545,b43341be-7ea4-4bde-a1d2-73aeb4edabc6,T01,base,trial,a close up of a computer screen with a number of code,Sense_B_FT_0,0.300570,Sense_B_4o_0,0.281377,0.019193,,,,,true,score<0.4,1755143545267,1755143545754,1755143554271
SCENE_A_MS,WARMUP,2025-08-14T10:42:52.646309,67a889c0-2cbd-4f30-9b26-9f5c7c6c8729,T263,base,warmup,First photo - preset output,,,,,,,,,,,,1755168172537,1755168172643,1755168172646
SCENE_B_STUDIO,WARMUP,2025-08-14T11:17:12.921472,32e27e36-29ab-4e10-85ea-4c56345bd44a,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755170232807,1755170232920,1755170232921
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:18:11.887408,b8e4d8d7-64e0-4a06-a2c5-507f036b2f3e,T01,base,trial,there is a large flat screen tv sitting on a stand,Sense_B_4o_0,0.357337,Sense_B_FT_0,0.288981,0.068356,,,,,false,,1755170289829,1755170290069,1755170291887
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:18:48.474407,c051047a-cebf-475b-bbe2-d097353f2121,T01,base,trial,there is a large flat screen tv sitting on a table,Sense_B_FT_0,0.412012,Sense_B_4o_0,0.382545,0.029467,,,,,true,margin<0.05,1755170325669,1755170326255,1755170328474
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:19:19.979471,5b82c78f-88c9-4128-860d-10b84e55d13d,T01,base,trial,there is a view of a tennis court from a window,Sense_B_FT_0,0.353351,Sense_B_4o_0,0.340406,0.012945,,,,,true,margin<0.05,1755170357405,1755170357998,1755170359979
SCENE_B_STUDIO,BASE-SCENE_B_STUDIO-1755170232938,2025-08-14T11:19:39.865375,6f25b8f5-b0ca-43ac-a189-b2855acf6f0b,T01,base,trial,there is a view of a tennis court from a window,Sense_B_FT_0,0.353351,Sense_B_4o_0,0.340406,0.012945,,,,,true,margin<0.05,1755170378324,1755170378453,1755170379865
SCENE_B_STUDIO,WARMUP,2025-08-14T11:54:24.256755,f0f657da-6609-4af5-b900-8d910910e6e0,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755172464138,1755172464255,1755172464256
SCENE_A_MS,WARMUP,2025-08-14T12:42:41.496383,934e5dc6-102c-4e91-ad05-65a55c75a9fe,T01,base,warmup,First photo - preset output,,,,,,,,,,,,1755175361397,1755175361494,1755175361496
SCENE_A_MS,BASE-SCENE_A_MS-1755175361558,2025-08-14T12:43:10.459994,deecaf6c-2d2f-41d3-9dd9-ee41dbeb3ffe,T01,base,trial,there is a room with a lot of things on the table,Sense_A_4o_0,0.617705,Sense_A_FT_0,0.334728,0.282977,,,,,false,,1755175387960,1755175388041,1755175390459
