site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,WARMUP,2025-08-14T14:09:34.697554,7c00f737-ce5c-49de-b7e8-bbeb7b95c8dc,T04,ft,warmup,First photo - preset output,,,,,,,,,,,,1755180568279,1755180568352,1755180574697
SCENE_A_MS,FT-SCENE_A_MS-1755180574767,2025-08-14T14:10:39.487201,66d1940b-2506-42f7-8b73-999163d3ac40,T04,ft,trial,there is a black machine with a red handle on a table,Sense_A_4o_0,0.406818,Sense_A_FT_0,0.306526,0.100292,,,,,false,,1755180634283,1755180634345,1755180639486
SCENE_A_MS,WARMUP,2025-08-14T15:11:52.868320,60dc06af-bbd7-470d-afcf-7d03413746fc,T04,ft,warmup,First photo - preset output,,,,,,,,,,,,,,1755184306203,1755184306377,1755184312868
SCENE_A_MS,FT-SCENE_A_MS-1755184312982,2025-08-14T15:12:55.177493,002d214c-62d7-4c7c-af23-c72ec11096a5,T04,ft,trial,there is a chair that is sitting in a room with boxes,Sense_A_FT_0,0.479837,Sense_A_4o_0,0.447932,0.031905,,,,,true,margin<0.05,1755184359467,1755184359580,1755184375177
SCENE_A_MS,FT-SCENE_A_MS-1755184312982,2025-08-14T15:13:49.303990,82a4c8ff-1b29-46b3-9f23-291fac5662f4,T04,ft,trial,there is a chair that is sitting in a room with a yellow line,Sense_A_4o_0,0.457290,Sense_A_FT_0,0.363980,0.093310,,,,,false,,1755184426092,1755184426208,1755184429302
SCENE_A_MS,WARMUP,2025-08-14T16:30:16.374500,97d77259-0653-4635-bdf1-01d1dc0fe3c4,T04,ft,warmup,First photo - preset output,,,,,,,,,,,,,,1755189010006,1755189010184,1755189016374
SCENE_A_MS,FT-SCENE_A_MS-1755189016388,2025-08-14T16:30:55.374889,9da2e87a-9693-430a-911c-b0ec87bd0605,T04,ft,trial,there is a black office chair sitting on a yellow line,Sense_A_4o_0,0.432919,Sense_A_FT_0,0.343633,0.089286,,,,,false,,1755189050036,1755189050218,1755189055373
SCENE_A_MS,FT-SCENE_A_MS-1755189016388,2025-08-14T16:31:56.769201,8db21f1a-91aa-4262-a717-fef9bdae775e,T04,ft,trial,there is a black chair sitting in a room with many boxes,Sense_A_FT_0,0.467832,Sense_A_4o_0,0.467609,0.000223,,,,,true,margin<0.05,1755189114948,1755189115115,1755189116769
SCENE_A_MS,WARMUP,2025-08-14T16:55:38.829281,1e6f154d-4b98-41ac-b7e5-7e960aa2d3ef,T04,ft,warmup,First photo - preset output,,,,,,,,,,,,,,1755190532157,1755190532277,1755190538829
SCENE_A_MS,FT-SCENE_A_MS-1755190538847,2025-08-14T16:56:19.476853,7bcab30b-0d7a-4675-8903-df08d92a4562,T04,ft,trial,"there is a table with a printer, a printer, a printer, and a printer",Sense_A_4o_0,0.493925,poi_3d_printer_table,0.300000,0.193925,,,,,false,,1755190574121,1755190574227,1755190579476
