site_id,run_id,ts_iso,req_id,session_id,provider,caption,top1_id,top1_score,top2_id,top2_score,margin,gt_node_id,hit_top1,hit_top2,hit_hop1,low_conf,low_conf_rule,client_start_ms,server_recv_ms,server_resp_ms
SCENE_A_MS,WARMUP,2025-08-14T10:38:02.983710,a70aee54-43d8-42bb-acf5-d8a8739ea972,T263,ft,warmup,First photo - preset output,,,,,,,,,,,,1755167882788,1755167882983,1755167882983
SCENE_A_MS,FT-SCENE_A_MS-1755167883001,2025-08-14T10:38:23.614502,bc96166b-c00b-4d36-9dbd-f69e3a2957c2,T263,ft,trial,there are many different machines in this room with boxes on the floor,Sense_A_4o_0,0.543803,Sense_A_FT_0,0.481916,0.061887,,,,,true,margin<0.07,1755167893865,1755167893979,1755167903614
SCENE_A_MS,WARMUP,2025-08-14T10:39:14.977607,c28a8ed9-ce8d-4b96-a945-2cb341290063,T263,ft,warmup,First photo - preset output,,,,,,,,,,,,1755167954840,1755167954977,1755167954977
SCENE_A_MS,WARMUP,2025-08-14T10:46:41.909260,1a73278f-063e-4967-a063-72d6d3ee3160,T263,ft,warmup,First photo - preset output,,,,,,,,,,,,1755168401775,1755168401907,1755168401909
SCENE_A_MS,FT-SCENE_A_MS-1755168401931,2025-08-14T10:47:46.018562,b34f7e8b-7b57-4fca-bfaf-a47ae3f513b2,T263,ft,trial,there is a desk with a computer and a printer in the corner,Sense_A_4o_0,0.536411,Sense_A_FT_0,0.297233,0.239178,,,,,false,,1755168459257,1755168459358,1755168466018
SCENE_A_MS,WARMUP,2025-08-14T10:48:40.527055,578da74f-e091-470e-8fd8-b8868e33884a,T263,ft,warmup,First photo - preset output,,,,,,,,,,,,1755168520167,1755168520526,1755168520527
SCENE_A_MS,WARMUP,2025-08-14T10:49:26.514359,64e208c7-ba6d-4558-8b01-2887eb7f89e3,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755168566396,1755168566513,1755168566514
SCENE_A_MS,WARMUP,2025-08-14T10:55:27.346205,539f8d35-05eb-4988-a441-f20b224faa9b,T01,ft,warmup,First photo - preset output,,,,,,,,,,,,1755168925728,1755168927345,1755168927346
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:56:08.215515,78b8aaf9-414e-402c-a451-4295886c8aaa,T01,ft,trial,there is a table with a printer and a roll of toilet paper,Sense_A_4o_0,0.472230,Sense_A_FT_0,0.308822,0.163409,,,,,false,,1755168961189,1755168961803,1755168968215
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:56:58.441868,0a5af87a-7472-4465-a89c-09ef427b2f3b,T01,ft,trial,there is a printer sitting on a table with a roll of toilet paper,Sense_A_4o_0,0.410892,Sense_A_FT_0,0.292839,0.118053,,,,,false,,1755169016085,1755169016342,1755169018441
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:58:15.808227,e1f5b6e2-aa0e-47c7-a493-9f9a45ff53e8,T01,ft,trial,there is a room with a table and chairs and a yellow line,Sense_A_4o_0,0.568905,Sense_A_FT_0,0.398565,0.170340,,,,,false,,1755169093416,1755169094080,1755169095807
SCENE_A_MS,FT-SCENE_A_MS-1755168927372,2025-08-14T10:58:44.757977,44b6e2f6-3c43-43e9-a271-c3b98376c2fe,T01,ft,trial,there is a room with a lot of chairs and tables,Sense_A_4o_0,0.562526,Sense_A_FT_0,0.381162,0.181364,,,,,false,,1755169122474,1755169122576,1755169124757
